BE,DE,DK1,DK2,FI,FR,NL,NO1,NO2,NO3,NO4,NO5,PL,SE1,SE2,SE3,SE4,UK
38422.0,199869.0,2293.0,1595.0,9663.0,62703.0,47672.0,4819.0,4347.0,2762.0,2231.0,2347.0,17006.0,1158.0,1996.0,10558.0,3077.0,49478.0
40469.0,213695.0,2401.0,1661.0,9742.0,64814.0,51922.0,5101.0,4502.0,2887.0,2319.0,2439.0,18138.0,1175.0,1994.0,10774.0,3309.0,55047.0
42820.0,223333.0,2456.0,1722.0,9850.0,66427.0,54683.0,5304.0,4641.0,2988.0,2373.0,2519.0,18847.0,1174.0,2033.0,11165.0,3405.0,62075.0
44272.0,232171.0,2405.0,1732.0,9908.0,67027.0,57834.0,5366.0,4720.0,3003.0,2407.0,2522.0,19194.0,1183.0,2068.0,11385.0,3375.0,68862.0
44512.0,231927.0,2348.0,1726.0,9979.0,68498.0,59284.0,5368.0,4756.0,2992.0,2413.0,2537.0,19228.0,1171.0,2009.0,11384.0,3278.0,72360.0
44017.0,230145.0,2332.0,1716.0,10033.0,66851.0,59422.0,5301.0,4713.0,2972.0,2411.0,2530.0,19455.0,1139.0,2057.0,11312.0,3233.0,74015.0
43262.0,223309.0,2278.0,1708.0,10445.0,64325.0,60405.0,5255.0,4774.0,2952.0,2428.0,2526.0,19217.0,1156.0,2109.0,11441.0,3219.0,73037.0
43335.0,222986.0,2243.0,1725.0,10853.0,61852.0,61830.0,5369.0,4824.0,2895.0,2444.0,2565.0,19568.0,1245.0,2143.0,11730.0,3312.0,70829.0
44289.0,233469.0,2468.0,1870.0,10955.0,60906.0,62913.0,5596.0,4913.0,2944.0,2471.0,2627.0,20674.0,1298.0,2191.0,12162.0,3483.0,69674.0
46060.0,249466.0,2778.0,2047.0,11077.0,63367.0,64507.0,5647.0,4885.0,2983.0,2470.0,2640.0,20548.0,1261.0,2208.0,12214.0,3569.0,73048.0
46011.0,250628.0,2730.0,2022.0,10995.0,66458.0,62653.0,5625.0,4907.0,3010.0,2471.0,2625.0,20470.0,1192.0,2124.0,12046.0,3503.0,80321.0
44392.0,244906.0,2464.0,1862.0,10657.0,66400.0,59202.0,5449.0,4835.0,2943.0,2425.0,2571.0,20158.0,1237.0,2106.0,11694.0,3352.0,81446.0
42766.0,227598.0,2318.0,1730.0,10238.0,63519.0,55834.0,5278.0,4716.0,2872.0,2385.0,2525.0,19536.0,1135.0,2037.0,11353.0,3219.0,78804.0
40928.0,216299.0,2161.0,1632.0,10420.0,60554.0,53032.0,5169.0,4631.0,2783.0,2353.0,2479.0,18338.0,1130.0,2060.0,10940.0,3106.0,74110.0
41701.0,216032.0,2054.0,1517.0,10280.0,61320.0,49720.0,5003.0,4559.0,2833.0,2308.0,2446.0,17324.0,1088.0,2041.0,10582.0,2960.0,69042.0
41686.0,205306.0,1950.0,1428.0,9835.0,62725.0,46417.0,4886.0,4482.0,2824.0,2279.0,2400.0,16107.0,1012.0,1953.0,10245.0,2810.0,62780.0
39764.0,194961.0,1791.0,1395.0,9413.0,60265.0,44132.0,4701.0,4253.0,2709.0,2216.0,2330.0,15072.0,1113.0,1895.0,10050.0,2706.0,58302.0
37786.0,176601.0,1727.0,1331.0,9219.0,57658.0,42049.0,4588.0,4168.0,2672.0,2192.0,2281.0,14350.0,1107.0,1862.0,9889.0,2682.0,59339.0
36040.0,170273.0,1675.0,1289.0,9097.0,55874.0,39853.0,4516.0,4138.0,2586.0,2156.0,2245.0,13946.0,1111.0,1821.0,9802.0,2666.0,51825.0
34899.0,167015.0,1661.0,1288.0,9118.0,52581.0,39037.0,4489.0,4155.0,2620.0,2161.0,2249.0,13793.0,1109.0,1825.0,9818.0,2671.0,47469.0
34364.0,167851.0,1674.0,1287.0,9174.0,50650.0,38860.0,4500.0,4150.0,2594.0,2156.0,2251.0,13817.0,1114.0,1855.0,9857.0,2688.0,45787.0
33979.0,166317.0,1680.0,1297.0,9363.0,50570.0,39460.0,4559.0,4230.0,2660.0,2184.0,2268.0,13965.0,1115.0,1874.0,9923.0,2662.0,43114.0
34501.0,163786.0,1834.0,1281.0,9385.0,51566.0,40475.0,4700.0,4290.0,2713.0,2208.0,2285.0,14381.0,1156.0,1925.0,10148.0,2741.0,42045.0
35050.0,175900.0,1962.0,1381.0,9640.0,52564.0,43081.0,4854.0,4388.0,2787.0,2212.0,2273.0,14470.0,1186.0,1991.0,10502.0,2890.0,42715.0
36217.0,187573.0,2130.0,1513.0,9726.0,53872.0,46549.0,5021.0,4535.0,2689.0,2260.0,2348.0,15067.0,1244.0,2041.0,10730.0,3007.0,44993.0
38347.0,199267.0,2277.0,1620.0,10011.0,56101.0,49691.0,5234.0,4572.0,2790.0,2297.0,2440.0,16019.0,1201.0,2049.0,11413.0,3090.0,49119.0
39925.0,211614.0,2350.0,1692.0,10233.0,58463.0,52800.0,5479.0,4775.0,2950.0,2370.0,2518.0,16765.0,1187.0,2067.0,12840.0,3161.0,55890.0
41735.0,225127.0,2383.0,1722.0,10348.0,60123.0,53896.0,5465.0,4812.0,2949.0,2398.0,2536.0,17175.0,1281.0,2054.0,11581.0,3223.0,63310.0
42477.0,226938.0,2322.0,1714.0,10320.0,62579.0,53535.0,5398.0,4737.0,2899.0,2402.0,2526.0,17300.0,1306.0,2177.0,11601.0,3196.0,68001.0
41564.0,218665.0,2258.0,1701.0,10334.0,60885.0,54358.0,5329.0,4686.0,2841.0,2418.0,2545.0,17593.0,1300.0,2091.0,11605.0,3256.0,70926.0
40556.0,212263.0,2227.0,1693.0,10621.0,58183.0,55146.0,5387.0,4763.0,2871.0,2456.0,2559.0,17347.0,1280.0,2178.0,11746.0,3302.0,71884.0
40005.0,211333.0,2242.0,1732.0,11028.0,56109.0,55752.0,5621.0,4851.0,2980.0,2510.0,2599.0,17553.0,1312.0,2300.0,12094.0,3348.0,71193.0
39798.0,220610.0,2530.0,1923.0,11135.0,55809.0,55789.0,5891.0,5053.0,3021.0,2534.0,2643.0,19026.0,1357.0,2315.0,12741.0,3521.0,72173.0
43490.0,235175.0,2862.0,2078.0,11111.0,59859.0,60204.0,5932.0,5095.0,3070.0,2524.0,2667.0,19287.0,1389.0,2204.0,12780.0,3658.0,76599.0
45419.0,237676.0,2769.0,2047.0,11071.0,65218.0,60730.0,5908.0,5011.0,3010.0,2525.0,2689.0,19295.0,1387.0,2296.0,12658.0,3647.0,83415.0
45324.0,232484.0,2542.0,1929.0,10915.0,66941.0,60063.0,5890.0,4984.0,3059.0,2498.0,2658.0,19320.0,1314.0,2201.0,12428.0,3593.0,83216.0
43777.0,223003.0,2347.0,1792.0,10680.0,65231.0,58243.0,5780.0,4862.0,2998.0,2503.0,2598.0,18647.0,1392.0,2129.0,11851.0,3423.0,79620.0
42136.0,216176.0,2213.0,1697.0,10950.0,62623.0,56061.0,5686.0,4745.0,2943.0,2507.0,2551.0,17920.0,1333.0,2096.0,11445.0,3232.0,75065.0
42582.0,217523.0,1997.0,1516.0,10823.0,63366.0,52688.0,5500.0,4644.0,2880.0,2451.0,2483.0,16953.0,1329.0,2107.0,11123.0,3042.0,69263.0
42674.0,206629.0,1961.0,1388.0,10434.0,64730.0,48592.0,5239.0,4487.0,2831.0,2392.0,2404.0,15827.0,1116.0,2059.0,10878.0,2934.0,61792.0
40158.0,197103.0,1911.0,1280.0,10116.0,62610.0,45903.0,4975.0,4342.0,2630.0,2407.0,2348.0,14796.0,1286.0,1934.0,10580.0,2854.0,55632.0
38663.0,188466.0,1832.0,1247.0,9976.0,61092.0,43559.0,4834.0,4250.0,2555.0,2314.0,2274.0,14212.0,1236.0,1934.0,10406.0,2784.0,62110.0
37049.0,183347.0,1744.0,1230.0,9889.0,60219.0,41839.0,4766.0,4228.0,2660.0,2284.0,2251.0,14037.0,1215.0,1947.0,10281.0,2760.0,61394.0
36211.0,182696.0,1704.0,1241.0,10087.0,57535.0,41493.0,4774.0,4212.0,2660.0,2245.0,2242.0,13981.0,1207.0,1945.0,10293.0,2757.0,58637.0
36473.0,186147.0,1745.0,1256.0,10494.0,56891.0,42201.0,4839.0,4252.0,2691.0,2263.0,2262.0,14321.0,1239.0,2000.0,10418.0,2766.0,57554.0
38110.0,201366.0,1951.0,1360.0,11322.0,59823.0,44392.0,5056.0,4414.0,2714.0,2297.0,2371.0,15036.0,1221.0,2117.0,10850.0,2845.0,55060.0
43107.0,227115.0,2419.0,1628.0,11759.0,66249.0,52001.0,5690.0,4758.0,2859.0,2441.0,2465.0,17081.0,1248.0,2246.0,11679.0,3060.0,55729.0
47872.0,254193.0,2922.0,1892.0,12194.0,73308.0,61775.0,6388.0,5169.0,3149.0,2670.0,2651.0,18429.0,1331.0,2451.0,12519.0,3312.0,64082.0
49734.0,269059.0,3071.0,1976.0,12257.0,76107.0,70454.0,6583.0,5355.0,3264.0,2810.0,2757.0,19412.0,1445.0,2565.0,12964.0,3438.0,78528.0
50410.0,275546.0,3077.0,2011.0,12268.0,76452.0,73012.0,6509.0,5326.0,3245.0,2780.0,2778.0,20241.0,1252.0,2615.0,12953.0,3464.0,88839.0
50508.0,280446.0,3117.0,2028.0,12271.0,76494.0,74042.0,6487.0,5394.0,3223.0,2836.0,2717.0,20543.0,1345.0,2549.0,13067.0,3554.0,92821.0
50811.0,283539.0,3099.0,2005.0,12298.0,76683.0,74897.0,6472.0,5363.0,3187.0,2808.0,2728.0,20803.0,1370.0,2723.0,13243.0,3613.0,94537.0
49871.0,283299.0,3026.0,1996.0,12298.0,76812.0,70314.0,6383.0,5166.0,3148.0,2850.0,2764.0,20877.0,1458.0,2505.0,13020.0,3589.0,95747.0
49730.0,280422.0,3054.0,1970.0,12215.0,75421.0,74867.0,6323.0,5167.0,3142.0,2856.0,2718.0,21171.0,1439.0,2505.0,12989.0,3577.0,96484.0
49437.0,276042.0,3028.0,1957.0,12411.0,73763.0,75800.0,6323.0,5187.0,3157.0,2879.0,2708.0,20995.0,1385.0,2586.0,13027.0,3591.0,96528.0
49275.0,273602.0,2958.0,1955.0,12750.0,71536.0,75306.0,6405.0,5258.0,3212.0,2928.0,2726.0,20977.0,1573.0,2798.0,13584.0,3625.0,96065.0
49429.0,276599.0,3069.0,2080.0,12862.0,71665.0,75986.0,6482.0,5314.0,3177.0,2938.0,2748.0,22323.0,1472.0,2677.0,13993.0,3779.0,96118.0
52505.0,294103.0,3291.0,2234.0,12793.0,75440.0,77088.0,6421.0,5248.0,3092.0,2873.0,2710.0,22399.0,1516.0,2654.0,13979.0,3763.0,99582.0
52905.0,292295.0,3099.0,2158.0,12806.0,79847.0,73365.0,6300.0,5164.0,3095.0,2824.0,2684.0,22215.0,1445.0,2689.0,13773.0,3683.0,104106.0
51092.0,284775.0,2884.0,2020.0,12787.0,80090.0,70274.0,6176.0,5123.0,3063.0,2803.0,2648.0,21920.0,1375.0,2634.0,13405.0,3615.0,103475.0
48618.0,267871.0,2672.0,1885.0,12394.0,76262.0,67537.0,6010.0,5059.0,3045.0,2804.0,2626.0,21086.0,1460.0,2637.0,12993.0,3518.0,101932.0
45943.0,253746.0,2464.0,1767.0,12513.0,71858.0,63804.0,5853.0,4911.0,2985.0,2718.0,2600.0,19861.0,1355.0,2540.0,12501.0,3418.0,96324.0
46788.0,246881.0,2252.0,1599.0,12378.0,71997.0,58789.0,5538.0,4720.0,2868.0,2660.0,2558.0,18575.0,1330.0,2315.0,11894.0,3318.0,89030.0
46606.0,229119.0,2050.0,1437.0,11927.0,72673.0,54833.0,5150.0,4477.0,2768.0,2575.0,2407.0,17263.0,1264.0,2133.0,11260.0,3132.0,79920.0
44274.0,213354.0,1914.0,1335.0,11553.0,69935.0,51088.0,4873.0,4284.0,2701.0,2482.0,2331.0,16170.0,1207.0,2004.0,10843.0,3007.0,70449.0
42627.0,202807.0,1857.0,1281.0,11315.0,67795.0,48329.0,4733.0,4259.0,2667.0,2473.0,2278.0,15396.0,1230.0,1985.0,10647.0,2910.0,64319.0
41122.0,197937.0,1844.0,1259.0,11226.0,66811.0,46993.0,4667.0,4231.0,2606.0,2423.0,2259.0,15059.0,1226.0,2031.0,10474.0,2894.0,63254.0
40216.0,197472.0,1832.0,1256.0,11254.0,64040.0,46579.0,4656.0,4213.0,2585.0,2412.0,2241.0,14925.0,1259.0,2090.0,10288.0,2891.0,60077.0
40312.0,200631.0,1886.0,1282.0,11426.0,63275.0,46837.0,4707.0,4257.0,2617.0,2484.0,2253.0,14873.0,1295.0,2011.0,10328.0,2924.0,58343.0
41659.0,207264.0,2043.0,1383.0,11733.0,65977.0,48240.0,4895.0,4304.0,2649.0,2454.0,2288.0,14825.0,1250.0,1982.0,10507.0,2949.0,56319.0
46273.0,223299.0,2480.0,1637.0,11730.0,72092.0,53702.0,5436.0,4600.0,2770.0,2499.0,2401.0,15005.0,1390.0,1999.0,11028.0,3054.0,56316.0
50163.0,246798.0,2948.0,1944.0,11982.0,78888.0,63988.0,6107.0,4987.0,3012.0,2762.0,2549.0,15064.0,1450.0,2261.0,11450.0,3188.0,64484.0
51865.0,257471.0,3136.0,2029.0,11946.0,81429.0,72380.0,6219.0,5024.0,3062.0,2792.0,2676.0,15571.0,1430.0,2241.0,11707.0,3272.0,79417.0
52219.0,264564.0,3094.0,2029.0,12070.0,81438.0,74340.0,6177.0,4970.0,3045.0,2783.0,2644.0,16434.0,1474.0,2265.0,11977.0,3321.0,89373.0
51895.0,271716.0,3138.0,2036.0,12116.0,81086.0,74489.0,6095.0,4975.0,3061.0,2816.0,2645.0,17015.0,1510.0,2288.0,12231.0,3350.0,91981.0
52006.0,277222.0,3143.0,2045.0,12052.0,81166.0,73549.0,6048.0,5024.0,3004.0,2805.0,2586.0,17399.0,1456.0,2348.0,12362.0,3383.0,93589.0
51274.0,275503.0,3104.0,2023.0,12030.0,80973.0,73246.0,6101.0,5024.0,3046.0,2819.0,2577.0,17561.0,1524.0,2327.0,12448.0,3360.0,93793.0
51178.0,270006.0,3106.0,2047.0,nan,79304.0,72768.0,6108.0,5011.0,3058.0,2791.0,2592.0,17906.0,1333.0,2232.0,12487.0,3367.0,93854.0
51042.0,263381.0,3049.0,2034.0,12389.0,77662.0,74106.0,6099.0,4995.0,3070.0,2824.0,2566.0,17609.0,1383.0,2305.0,12589.0,3394.0,93257.0
50912.0,261721.0,2973.0,2038.0,12881.0,75285.0,74189.0,6188.0,5079.0,3087.0,2864.0,2609.0,17648.0,1384.0,2433.0,12969.0,3526.0,92563.0
51402.0,268941.0,3077.0,2147.0,12945.0,75028.0,74767.0,6223.0,5106.0,3096.0,2837.0,2672.0,19321.0,1453.0,2482.0,13135.0,3670.0,92346.0
54044.0,287218.0,3300.0,2267.0,12918.0,78196.0,77065.0,6142.0,5006.0,3042.0,2749.0,2533.0,19797.0,1453.0,2466.0,13260.0,3745.0,96061.0
54203.0,287841.0,3098.0,2197.0,12872.0,81983.0,72771.0,5928.0,4954.0,2980.0,2748.0,2509.0,19897.0,1457.0,2280.0,12986.0,3669.0,103627.0
51938.0,282453.0,2894.0,2054.0,12594.0,81712.0,70001.0,5796.0,4906.0,2953.0,2711.0,2502.0,19908.0,1346.0,2301.0,12695.0,3571.0,103636.0
49489.0,265135.0,2697.0,1919.0,12129.0,77245.0,65648.0,5648.0,4792.0,2875.0,2708.0,2425.0,19579.0,1359.0,2272.0,12184.0,3438.0,102601.0
46823.0,253422.0,2534.0,1778.0,12178.0,72532.0,60677.0,5499.0,4768.0,2848.0,2671.0,2390.0,18636.0,1292.0,2185.0,11606.0,3310.0,97467.0
47488.0,246107.0,2325.0,1624.0,12005.0,72243.0,56050.0,5195.0,4529.0,2703.0,2586.0,2446.0,17812.0,1200.0,1994.0,11098.0,3158.0,90056.0
47134.0,227574.0,2131.0,1480.0,11505.0,72686.0,52559.0,4839.0,4287.0,2594.0,2477.0,2250.0,16429.0,1204.0,2070.0,10545.0,3033.0,81100.0
44317.0,215101.0,1994.0,1362.0,11061.0,69988.0,38386.0,4574.0,4231.0,2624.0,2392.0,2227.0,15521.0,1195.0,2107.0,10369.0,3033.0,72216.0
42046.0,204652.0,1948.0,1305.0,10784.0,67621.0,35732.0,4400.0,4106.0,2599.0,2346.0,2161.0,15134.0,1189.0,2066.0,10275.0,3005.0,65397.0
40708.0,201242.0,1895.0,1275.0,10631.0,66393.0,34501.0,4319.0,4055.0,2566.0,2333.0,2131.0,14919.0,1161.0,1951.0,10191.0,3029.0,64826.0
40078.0,201465.0,1864.0,1295.0,10662.0,63640.0,34095.0,4315.0,4013.0,2590.0,2322.0,2131.0,15075.0,1157.0,1959.0,10237.0,3045.0,61977.0
40012.0,206378.0,1913.0,1328.0,11011.0,62955.0,34446.0,4409.0,4067.0,2508.0,2316.0,2181.0,15366.0,1185.0,1974.0,10369.0,3095.0,60128.0
41445.0,220810.0,2075.0,1416.0,11848.0,65636.0,36394.0,4656.0,4219.0,2617.0,2387.0,2252.0,16506.0,1238.0,2092.0,10865.0,3275.0,56594.0
45589.0,255076.0,2523.0,1669.0,12330.0,71516.0,42410.0,5144.0,4545.0,2725.0,2444.0,2314.0,19846.0,1282.0,2244.0,12057.0,3686.0,55200.0
49884.0,285614.0,3006.0,1957.0,12622.0,78168.0,52302.0,5824.0,4989.0,2993.0,2666.0,2562.0,21757.0,1364.0,2419.0,13256.0,4052.0,62868.0
51423.0,295459.0,3158.0,2040.0,12548.0,80971.0,58897.0,5972.0,5122.0,3084.0,2679.0,2702.0,22658.0,1369.0,2517.0,13590.0,4125.0,79690.0
